1,1.082208,1.013180,1.000032,1.080310,1.100118,1.001974,1.096426,1.075296,1.076902,1.101582,1.067974,1.113218,1.108290,1.051848,1.005900,1.008096,1.024464,1.028532,1.022944,1.021314,1.029054,
2,0.973034,0.979964,0.973024,0.973026,1.046362,0.973024,1.056746,1.040486,1.055226,1.040778,1.082900,1.115192,1.102376,1.046472,1.072906,1.002642,1.055644,1.073492,1.073176,1.080876,1.085224,
4,1.013586,0.973014,0.982478,0.973026,0.973026,1.040096,1.034750,1.061136,1.040468,1.137184,1.112062,1.088606,1.093580,1.136342,1.065898,1.014544,1.094072,1.170176,1.178254,1.161344,1.174832,
8,0.973026,0.973026,1.039812,1.000044,1.041132,0.999522,1.043924,1.026790,1.084442,1.079402,1.113612,1.152036,1.211596,1.288324,1.569720,1.048938,1.361050,1.688162,1.880474,1.776236,1.759158,
16,1.007008,0.979760,0.973026,0.973026,0.976626,0.973014,1.132364,0.973046,0.977298,0.973246,1.004414,1.273794,1.649856,1.756412,2.159136,2.424644,2.090414,3.055502,3.209416,3.141486,3.149274,
32,0.973016,0.973026,0.976910,0.973014,0.977694,0.973016,1.050268,1.008554,1.008378,1.085914,1.055142,1.812622,2.811412,3.179766,3.497708,4.210112,3.501436,5.598788,5.812774,5.829104,5.857398,
64,1.012502,0.973014,0.973016,0.976696,0.973016,0.976548,0.973026,1.331560,1.380880,1.370816,1.373146,3.200048,5.402958,5.965324,6.244620,7.375568,6.636692,8.752384,12.006000,11.911764,11.979216,
128,1.006502,0.978926,0.973016,0.976632,0.973016,0.973016,0.976944,1.638754,1.513340,1.494622,1.423786,3.836372,6.506064,7.160828,7.421006,8.461392,8.261710,13.899610,17.390458,20.445430,20.441670,
256,1.012480,0.973016,0.976638,0.973016,0.973026,0.976632,0.973022,1.841750,1.770396,1.758746,1.587988,3.858538,6.406748,7.156908,7.358200,8.230236,8.469240,15.899632,20.527732,22.908596,24.613902,
512,1.012706,0.973014,0.976604,0.973014,0.973014,0.976926,0.973022,1.882688,1.743826,1.741046,1.592708,3.790340,6.388196,7.141948,7.300892,8.254592,8.660058,20.142668,26.677904,29.722914,31.133294,
